"drug_concept_name","drug_concept_id","UCLH","UHB"
"Adapalene 0.1% / Benzoyl peroxide 2.5% gel",21198508,"<=10","<=10"
"Adapalene 0.1% cream",21181087,"26","<=10"
"Additrace concentrate for solution for infusion 10ml ampoules",21294480,"<=10","1487"
"Adenoscan 30mg/10ml solution for infusion vials",21294320,"316","<=10"
"Adenosine",21309467,"<=10","190"
"Adenosine 30mg/10ml solution for infusion vials",36815017,"34","<=10"
"Adenosine 6mg/2ml solution for injection vials",36815022,"86","<=10"
"Adoport 0.5mg capsules",21184999,"<=10","<=10"
"Adoport 1mg capsules",21296964,"88","<=10"
"Adoport 2mg capsules",21223676,"30","<=10"
"Adoport 5mg capsules",21315466,"<=10","<=10"
"Adrenaline",21309630,"<=10","8328"
"Adrenaline (base) 1mg/10ml (1 in 10,000) dilute solution for injection pre-filled syringes",21235570,"293","<=10"
"Adrenaline (base) 1mg/1ml (1 in 1,000) solution for injection pre-filled syringes",21198423,"2479","<=10"
"Adrenaline (base) 500micrograms/0.5ml (1 in 1,000) solution for injection pre-filled disposable devices",21272700,"<=10","<=10"
"Adrenaline (base) 5mg/5ml (1 in 1,000) solution for injection ampoules",36815026,"156","<=10"
"Adrenaline acid tartrate 100micrograms/1ml (1 in 10,000) solution for injection pre-filled syringes",21199531,"25","<=10"
"Advate 2,000unit powder and solvent for solution for injection vials",21277309,"24","<=10"
"Advate 250unit powder and solvent for solution for injection vials",21201702,"<=10","<=10"
"Afatinib",21309741,"<=10","22"
"Afatinib 20mg tablets",21310009,"<=10","<=10"
"Afatinib 30mg tablets",21198294,"21","<=10"
"Afatinib 40mg tablets",21272704,"12","<=10"
"Agomelatine 25mg tablets",21310290,"105","<=10"
"AirFluSal 25micrograms/dose / 125micrograms/dose inhaler",40702141,"<=10","<=10"
"Ajmaline",21197999,"<=10","19"
"Albendazole",21216395,"<=10","22"
"Albendazole 400mg chewable tablets",21311060,"183","<=10"
"Albumin human 20% infusion 50ml bags",21198572,"1968","<=10"
"Albumin human 4.5% solution for infusion 250ml bottles",21311251,"461","<=10"
"Albumin human 5% solution for infusion 250ml vials",21198391,"98","<=10"
"Albumin solution human",21178510,"<=10","30058"
"Aldesleukin 18million unit injection vials",21311195,"20","<=10"
"Alectinib 150mg capsules",40702113,"<=10","<=10"
"Alemtuzumab",21197689,"<=10","118"
"Alemtuzumab 12mg/1.2ml solution for infusion vials",21309986,"<=10","<=10"
"Alemtuzumab 30mg/1ml solution for infusion vials",21180271,"193","<=10"
"Alendronic acid",21290887,"<=10","1652"
"Alendronic acid 10mg tablets",21199957,"40","<=10"
"Alendronic acid 70mg effervescent tablets sugar free",21198156,"<=10","<=10"
"Alendronic acid 70mg tablets",21199958,"489","<=10"
"Alfacalcidol",21216396,"<=10","12839"
"Alfacalcidol 1microgram capsules",21237110,"218","<=10"
"Alfacalcidol 250nanogram capsules",21274309,"373","<=10"
"Alfacalcidol 2micrograms/ml oral drops sugar free",21255686,"262","<=10"
"Alfacalcidol 500nanogram capsules",21237108,"151","<=10"
"Alfentanil",21272103,"<=10","177071"
"Alfentanil 1mg/2ml solution for injection ampoules",36815035,"3442","<=10"
"Alfentanil 5mg/10ml solution for injection ampoules",36815037,"30","<=10"
"Alfentanil 5mg/1ml solution for injection ampoules",36815039,"656","<=10"
"Alfuzosin",21272104,"<=10","575"
"Alfuzosin 2.5mg tablets",21218455,"308","<=10"
"Algesal cream",21237825,"<=10","28"
"Alginate raft-forming oral suspension sugar free",21311486,"19904","24248"
"Alimemazine",21272110,"<=10","<=10"
"Alimemazine 30mg/5ml oral solution",36815046,"13","<=10"
"Alirocumab 150mg/1ml solution for injection pre-filled disposable devices",21235356,"<=10","<=10"
"Aliskiren",21272369,"<=10","<=10"
"Allopurinol",21290750,"<=10","17021"
"Allopurinol 100mg tablets",21293033,"5667","<=10"
"Allopurinol 300mg tablets",21255762,"10513","<=10"
"Almotriptan-containing product",4046755,"<=10","<=10"
"Alogliptin",21179195,"<=10","1238"
"Alogliptin 12.5mg / Metformin 1g tablets",21235455,"19","22"
"Alogliptin 12.5mg tablets",21272693,"<=10","<=10"
"Alogliptin 25mg tablets",21272694,"78","<=10"
"Alpha tocopherol",21197846,"<=10","49"
"Alpha tocopheryl acetate",21178384,"<=10","16"
"Alpha tocopheryl acetate 500mg/5ml oral suspension",21255491,"27","<=10"
"Alprazolam",21290751,"<=10","18"
"Alprazolam 250microgram tablets",21311209,"36","<=10"
"Alprazolam 500microgram tablets",21180658,"<=10","<=10"
"Alprostadil 10microgram powder and solvent for solution for injection cartridges with device",21310737,"<=10","<=10"
"Alprostadil 250microgram urethral sticks",36815077,"<=10","<=10"
"Alprostadil 3mg/g cream",21198259,"<=10","<=10"
"Alteplase",21178879,"<=10","272"
"Alteplase-containing product",4100489,"<=10","<=10"
"Alteplase 10mg powder and solvent for solution for injection vials",36815081,"34","<=10"
"Alteplase 20mg powder and solvent for solution for injection vials",36815082,"15","<=10"
"Alteplase 2mg powder for solution for injection vials",40702493,"84","<=10"
"Alteplase 50mg powder and solvent for solution for infusion vials",36815083,"311","<=10"
"Altraplen Compact liquid",21483144,"<=10","<=10"
"Alverine 120mg capsules",21311665,"<=10","<=10"
"Alverine 60mg capsules",21181102,"40","<=10"
"Alverine citrate",21234388,"<=10","371"
"Amantadine",21272107,"<=10","491"
"Amantadine 100mg capsules",21218614,"1054","<=10"
"Amantadine 50mg/5ml oral solution sugar free",36815097,"21","<=10"
"Ambrisentan",21235156,"<=10","89"
"Ambrisentan 10mg tablets",21217344,"32","<=10"
"Amethocaine 4% gel",21255450,"<=10","<=10"
"Amgevita 40mg/0.8ml solution for injection pre-filled pens",36815101,"32","<=10"
"Amifampridine 10mg tablets",21179651,"18","<=10"
"Amikacin",21272108,"<=10","86"
"Amikacin 100mg/2ml solution for injection vials",36815105,"<=10","<=10"
"Amikacin 500mg/2ml solution for injection vials",36815106,"546","<=10"
"Amiloride 5mg tablets",21199963,"1569","<=10"
"Amiloride 5mg/5ml oral solution sugar free",36815107,"45","<=10"
"Amiloride hydrochloride",21290222,"<=10","1494"
"Amiloride hydrochloride 5 mg and furosemide 40 mg oral tablet",4203654,"<=10","<=10"
"Aminolevulinic acid hydrochloride",21216693,"<=10","<=10"
"Aminolevulinic acid hydrochloride 30mg/ml oral solution",21179587,"58","<=10"
"Aminophylline",21234913,"<=10","1447"
"Aminophylline-containing product",4184138,"<=10","<=10"
"Aminophylline 250mg/10ml solution for injection ampoules",36815109,"720","<=10"
"Aminophylline hydrate 225mg modified-release tablets",21180907,"1181","<=10"
"Aminophylline hydrate 350mg modified-release tablets",21274307,"22","<=10"
"Amiodarone",21290755,"<=10","12929"
"Amiodarone 100mg tablets",21255727,"57","<=10"
"Amiodarone 150mg/3ml solution for injection ampoules",36815113,"7589","<=10"
"Amiodarone 200mg tablets",21293011,"1488","<=10"
"Amiodarone 300mg/10ml solution for injection pre-filled syringes",36815118,"147","<=10"
"Amiodarone 50mg/5ml oral suspension",21273699,"33","<=10"
"Amiodarone hydrochloride",21252950,"<=10","8203"
"Amisulpride",21197691,"<=10","1526"
"Amisulpride 100mg tablets",21180965,"123","<=10"
"Amisulpride 100mg/ml oral solution sugar free",36815119,"106","<=10"
"Amisulpride 200mg tablets",21255694,"195","<=10"
"Amisulpride 50mg tablets",21218633,"248","<=10"
"Amitriptyline",21253489,"<=10","20223"
"Amitriptyline 10mg tablets",21199985,"8256","<=10"
"Amitriptyline 10mg/5ml oral solution sugar free",21272623,"197","<=10"
"Amitriptyline 25mg tablets",21237165,"3293","<=10"
"Amitriptyline 25mg/5ml oral solution sugar free",36815120,"903","<=10"
"Amitriptyline 50mg tablets",21255760,"931","<=10"
"Amitriptyline 50mg/5ml oral solution sugar free",36815122,"325","<=10"
"Amlodipine",21309469,"<=10","44647"
"Amlodipine 10mg tablets",21311700,"6710","<=10"
"Amlodipine 10mg/5ml oral solution",21179556,"<=10","<=10"
"Amlodipine 5mg / Valsartan 160mg tablets",21236235,"<=10","<=10"
"Amlodipine 5mg tablets",21237150,"31847","<=10"
"Amlodipine 5mg/5ml oral solution",21291694,"<=10","<=10"
"Amorolfine",21178890,"<=10","14"
"Amorolfine 5% nail lacquer",4220575,"<=10","24"
"Amoxicillin",21309471,"<=10","56281"
"Amoxicillin 125mg/5ml oral suspension sugar free",36815127,"12","<=10"
"Amoxicillin 250mg capsules",21311730,"383","<=10"
"Amoxicillin 250mg powder for solution for injection vials",21180980,"641","<=10"
"Amoxicillin 250mg/5ml oral suspension sugar free",21293043,"263","<=10"
"Amoxicillin 3g oral powder sachets sugar free",36815131,"<=10","<=10"
"Amoxicillin 500mg capsules",21237170,"4661","<=10"
"Amoxicillin 500mg powder for solution for injection vials",21255581,"2619","<=10"
"Amoxicillin and clavulanate potassium product",4231561,"<=10","<=10"
"Amphotericin B",21178891,"<=10","34"
"Amphotericin B 50mg powder for solution for infusion vials",21236701,"45","<=10"
"Amphotericin B liposomal 50mg powder for dispersion for infusion vials",21310083,"3105","<=10"
"Amphotericin B phospholipid complex",21216702,"<=10","17"
"Anagrelide",21253609,"<=10","12"
"Anagrelide 500microgram capsules",21310845,"<=10","<=10"
"Anakinra 100mg/0.67ml solution for injection pre-filled syringes",21236693,"1618","<=10"
"Anastrozole",21197725,"<=10","1047"
"Anastrozole 1mg tablets",21274313,"246","<=10"
"Anidulafungin",21179153,"<=10","1554"
"Anidulafungin 100mg powder for solution for infusion vials",21179690,"57","<=10"
"Antacid and Oxetacaine oral suspension",21310782,"7941","1269"
"Antazoline 0.5% / Xylometazoline 0.05% eye drops",21237122,"<=10","<=10"
"Anti-D (RHO) immunoglobulin 1,500unit solution for injection vials",21199447,"841","<=10"
"Anti-D (RHO) immunoglobulin 1,500units/2ml solution for injection pre-filled syringes",21180449,"<=10","<=10"
"Anti-D (RHO) immunoglobulin 500unit injection vials",21199446,"<=10","<=10"
"Anti-D immunoglobulin",21290931,"<=10","<=10"
"Antithrombin alfa",21291003,"<=10","<=10"
"Antithymocyte immunoglobulin (rabbit)",21197926,"<=10","713"
"Antithymocyte immunoglobulin (rabbit) 25mg powder and solvent for solution for infusion vials",21254866,"40","<=10"
"Anusol Soothing Relief ointment",21242052,"<=10","2969"
"Apixaban",21235180,"<=10","54335"
"Apixaban 2.5mg tablets",21217148,"7863","<=10"
"Apixaban 5mg tablets",21235521,"6044","<=10"
"Apomorphine",21290756,"<=10","214"
"Apomorphine 30mg/3ml solution for injection pre-filled disposable devices",36815143,"16","<=10"
"Apomorphine 50mg/10ml solution for infusion pre-filled syringes",36815144,"256","<=10"
"Apraclonidine",21178887,"<=10","645"
"Apraclonidine 5mg/ml eye drops",21311392,"54","<=10"
"Aprepitant",21309573,"<=10","45"
"Aprepitant 125mg capsules",21311083,"2541","<=10"
"Aprepitant 80mg capsules",21292425,"2591","<=10"
"AproDerm emollient cream",21352109,"<=10","2172"
"Aprotinin",21197695,"<=10","39"
"AquaSoothe 1% cream",21482720,"<=10","<=10"
"Aqueous cream",21200000,"159","2625"
"Arachis oil 130ml enema",36815148,"37","<=10"
"Argatroban",21309732,"<=10","3031"
"Argatroban 250mg/2.5ml solution for infusion vials",36815149,"<=10","<=10"
"Arginine 2g/5ml oral solution",21180445,"11","<=10"
"Argipressin",21253652,"<=10","17475"
"Argipressin 20units/1ml solution for injection ampoules",21273739,"979","<=10"
"Aripiprazole",21216475,"<=10","2151"
"Aripiprazole 10mg orodispersible tablets sugar free",21217758,"<=10","<=10"
"Aripiprazole 10mg tablets",21218067,"404","<=10"
"Aripiprazole 15mg tablets",21255138,"203","<=10"
"Aripiprazole 1mg/ml oral solution",21199070,"36","<=10"
"Aripiprazole 30mg tablets",21273761,"66","<=10"
"Aripiprazole 400mg powder and solvent for suspension for injection vials",21291308,"<=10","<=10"
"Aripiprazole 5mg tablets",21292218,"423","<=10"
"Aripiprazole 9.75mg/1.3ml solution for injection vials",21310374,"<=10","<=10"
"Arjun 2% cream",21359361,"83","<=10"
"Arsenic 10mg/10ml solution for infusion ampoules",21255150,"113","<=10"
"Artemether 20mg / Lumefantrine 120mg tablets",21218528,"63","26"
"Artesunate 60mg powder and solvent for solution for injection vials",21235433,"48","<=10"
"Articaine 88mg/2.2ml / Adrenaline (base) 22micrograms/2.2ml (1 in 100,000) solution for injection cartridges",21272794,"<=10","<=10"
"Artificial saliva spray",40685840,"3825","8195"
"Asacol 400mg MR gastro-resistant tablets",21312367,"181","<=10"
"Ascorbic acid",21179072,"<=10","1129"
"Ascorbic acid + Nicotinamide",21197879,"<=10","22742"
"Ascorbic acid 100mg tablets",21311656,"56","<=10"
"Ascorbic acid 500mg tablets",21199934,"76","<=10"
"Ascorbic acid 50mg tablets",21237111,"129","<=10"
"Asenapine",21179185,"<=10","<=10"
"Asparaginase 10,000unit powder for solution for infusion vials",40701373,"<=10","<=10"
"Aspirin",21272111,"<=10","62926"
"Aspirin 150mg suppositories",21311650,"70","<=10"
"Aspirin 300mg dispersible tablets",21199959,"4023","<=10"
"Aspirin 300mg gastro-resistant tablets",21293006,"<=10","<=10"
"Aspirin 300mg suppositories",21181088,"523","<=10"
"Aspirin 75mg dispersible tablets",21311711,"19931","<=10"
"Aspirin 75mg gastro-resistant tablets",21237146,"622","<=10"
"Aspirin 75mg tablets",21218658,"335","<=10"
"Atazanavir 300mg / Cobicistat 150mg tablets",21198158,"<=10","<=10"
"Atazanavir 300mg capsules",21198646,"<=10","<=10"
"Atenolol",21253497,"<=10","5647"
"Atenolol 100mg tablets",21199962,"58","<=10"
"Atenolol 25mg tablets",21311697,"1027","<=10"
"Atenolol 25mg/5ml oral solution sugar free",36815181,"104","<=10"
"Atenolol 50mg / Nifedipine 20mg modified-release capsules",36815183,"<=10","<=10"
"Atenolol 50mg tablets",21218660,"1075","<=10"
"Atezolizumab 1.2g/20ml solution for infusion vials",40701338,"61","<=10"
"Atomoxetine",21309499,"<=10","<=10"
"Atomoxetine 10mg capsules",21255137,"<=10","<=10"
"Atomoxetine 25mg capsules",21180507,"<=10","<=10"
"Atorvastatin",21178888,"<=10","65574"
"Atorvastatin-containing product",4031902,"<=10","<=10"
"Atorvastatin 10mg tablets",21311701,"2962","<=10"
"Atorvastatin 20mg chewable tablets sugar free",21254208,"<=10","<=10"
"Atorvastatin 20mg tablets",21255728,"13470","<=10"
"Atorvastatin 40mg tablets",21199964,"20764","<=10"
"Atorvastatin 80mg tablets",21218652,"2249","<=10"
"Atosiban 37.5mg/5ml solution for infusion vials",36815199,"59","<=10"
"Atosiban 6.75mg/0.9ml solution for injection ampoules",40701290,"17","<=10"
"Atovaquone",21234952,"<=10","1372"
"Atovaquone 750mg/5ml oral suspension sugar free",36815201,"259","<=10"
"Atracurium",21235068,"<=10","50703"
"Atracurium besilate 250mg/25ml solution for injection ampoules",21235652,"4566","<=10"
"Atracurium besilate 25mg/2.5ml solution for injection ampoules",36815204,"51","<=10"
"Atracurium besilate 50mg/5ml solution for injection ampoules",36815209,"14530","<=10"
"Atropine 1% eye drops",21181157,"535","57"
"Atropine 1% eye drops 0.5ml unit dose preservative free",36815214,"19","<=10"
"Atropine 1mg/5ml solution for injection pre-filled syringes",36815211,"<=10","<=10"
"Atropine 3mg/10ml solution for injection ampoules",36815218,"<=10","<=10"
"Atropine 600microgram tablets",21236864,"11","<=10"
"Atropine 600micrograms/1ml solution for injection ampoules",36815223,"271","<=10"
"Atropine sulfate",21234371,"<=10","865"
"Avamys 27.5micrograms/dose nasal spray",21240357,"<=10","52"
"Aveeno cream",21419497,"249","<=10"
"Avelumab 200mg/10ml solution for infusion vials",40701227,"27","<=10"
"Axitinib-containing product",4329264,"<=10","<=10"
"Aymes ActaSolve Smoothie powder 66g sachets",36818320,"<=10","31"
"Aymes Shake powder neutral",36818355,"<=10","<=10"
"Azacitidine 100mg powder for suspension for injection vials",21179748,"2720","<=10"
"Azathioprine",21290767,"<=10","3391"
"Azathioprine 25mg tablets",21274311,"183","<=10"
"Azathioprine 50mg tablets",21292974,"566","<=10"
"Azelastine",21234924,"<=10","<=10"
"Azelastine 0.05% eye drops",21274097,"<=10","<=10"
"Azelastine 140micrograms/dose nasal spray",21236915,"111","<=10"
"Azithromycin",21234953,"<=10","722"
"Azithromycin-containing product",4320394,"<=10","39"
"Azithromycin 200mg/5ml oral suspension",21292983,"170","<=10"
"Azithromycin 250mg capsules",21311670,"2821","<=10"
"Azithromycin 250mg tablets",21180174,"1090","<=10"
"Azithromycin 500mg powder for solution for infusion vials",21273424,"169","<=10"
"Azithromycin 500mg tablets",21181104,"36","<=10"
"Aztreonam",21253518,"<=10","18"
"Aztreonam 1g injection vials",21218277,"<=10","<=10"
"Baclofen",21197697,"<=10","13363"
"Baclofen 10mg tablets",21255690,"6010","<=10"
"Baclofen 10mg/20ml solution for infusion ampoules",21292769,"13","<=10"
"Baclofen 50micrograms/1ml solution for injection ampoules",21180889,"92","<=10"
"Baclofen 5mg/5ml oral solution sugar free",36815236,"2466","<=10"
"Balsalazide",21179032,"<=10","124"
"Balsalazide 750mg capsules",21274155,"<=10","<=10"
"Bambuterol",21178892,"<=10","23"
"Baricitinib 2mg tablets",40701752,"<=10","<=10"
"Barium sulfate 98% powder for oral suspension sugar free",21272591,"<=10","<=10"
"Basiliximab",21197701,"<=10","232"
"Bazuka gel",21238073,"<=10","<=10"
"Beclometasone",21197782,"<=10","2781"
"Beclometasone + Formoterol",21272375,"<=10","29193"
"Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler",21254033,"549","<=10"
"Beclometasone 100micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free",21235956,"7305","<=10"
"Beclometasone 100micrograms/dose breath actuated inhaler CFC free",36815251,"154","<=10"
"Beclometasone 100micrograms/dose inhaler CFC free",36815253,"20","<=10"
"Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose dry powder inhaler",21309904,"1154","<=10"
"Beclometasone 200micrograms/dose / Formoterol 6micrograms/dose inhaler CFC free",21235350,"1625","<=10"
"Beclometasone 200micrograms/dose inhaler CFC free",21217760,"1181","<=10"
"Beclometasone 250micrograms/dose inhaler CFC free",21217761,"521","<=10"
"Beclometasone 50micrograms/actuation nasal spray",21255555,"1028","<=10"
"Beclometasone 50micrograms/dose breath actuated inhaler CFC free",36815265,"11","<=10"
"Beclometasone dipropionate",21234391,"<=10","15152"
"Bedaquiline 100mg tablets",21179415,"25","<=10"
"Belatacept",21216687,"<=10","<=10"
"Belimumab",21216690,"<=10","26"
"Bendamustine",21179182,"<=10","<=10"
"Bendamustine 100mg powder for solution for infusion vials",21272904,"264","<=10"
"Bendamustine 25mg powder for solution for infusion vials",21291536,"141","<=10"
"Bendroflumethiazide",21234929,"<=10","3682"
"Bendroflumethiazide 2.5mg tablets",21199966,"2434","<=10"
"Bendroflumethiazide 5mg tablets",21311704,"<=10","<=10"
"Benperidol",21178894,"<=10","63"
"Benzathine benzylpenicillin 2.4million unit powder and solvent for suspension for injection vials",21236272,"<=10","<=10"
"Benzoyl peroxide 5% gel",21218548,"16","<=10"
"Benzydamine",21253519,"<=10","47911"
"Benzydamine 0.15% mouthwash",21218628,"14281","<=10"
"Benzydamine 0.15% oromucosal spray sugar free",21199932,"839","<=10"
"Benzylpenicillin",21197869,"<=10","2424"
"Benzylpenicillin 1.2g powder for solution for injection vials",21273999,"154","<=10"
"Benzylpenicillin 600mg powder for solution for injection vials",21311371,"5028","<=10"
"Berocca tablets",21361006,"<=10","224"
"Betahistine",21253502,"<=10","6989"
"Betahistine 16mg tablets",21237039,"94","<=10"
"Betahistine 8mg tablets",21274247,"1307","<=10"
"Betaine",21235095,"<=10","<=10"
"Betaine 500mg tablets",21273463,"<=10","<=10"
"Betamethasone",21178913,"<=10","<=10"
"Betamethasone 0.1% / Neomycin 0.5% ear/eye/nose drops",21292864,"12","<=10"
"Betamethasone 0.1% ear/eye/nose drops",21236964,"438","<=10"
"Betamethasone 0.1% scalp application",4221602,"<=10","11"
"Betamethasone 4mg/1ml solution for injection ampoules",36815297,"<=10","<=10"
"Betamethasone 500microgram soluble tablets",21255456,"78","<=10"
"Betamethasone dipropionate 0.05% / Salicylic acid 2% scalp application",36815298,"<=10","<=10"
"Betamethasone dipropionate 0.05% / Salicylic acid 3% ointment",21292977,"130","<=10"
"Betamethasone dipropionate 0.05% cream",21218656,"70","<=10"
"Betamethasone dipropionate 0.05% ointment",21218657,"29","<=10"
"Betamethasone dipropionate 0.064% / Clotrimazole 1% cream",36815299,"42","<=10"
"Betamethasone sodium phosphate",21197217,"<=10","258"
"Betamethasone valerate",21178372,"<=10","3242"
"Betamethasone valerate 0.025% cream",21311639,"322","<=10"
"Betamethasone valerate 0.025% ointment",21255704,"131","<=10"
"Betamethasone valerate 0.1% / Clioquinol 3% ointment",21255595,"<=10","512"
"Betamethasone valerate 0.1% / Fusidic acid 2% cream",21274308,"201","714"
"Betamethasone valerate 0.1% cream",21199918,"331","<=10"
"Betamethasone valerate 0.1% ointment",21292855,"111","<=10"
"Betamethasone valerate 0.1% scalp application",21199834,"134","<=10"
"Betaxolol 0.5% eye drops",21311708,"47","<=10"
"Betaxolol hydrochloride",21234361,"<=10","14"
"Bevacizumab 100mg/4ml solution for infusion vials",36815307,"230","<=10"
"Bevacizumab 400mg/16ml solution for infusion vials",36815308,"264","<=10"
"Bexarotene 75mg capsules",21180729,"36","<=10"
"Bezafibrate",21253503,"<=10","381"
"Bezafibrate 200mg tablets",21293028,"128","<=10"
"Bezafibrate 400mg modified-release tablets",21274347,"113","<=10"
"Bicalutamide",21234925,"<=10","986"
"Bicalutamide 150mg tablets",21255683,"163","<=10"
"Bicalutamide 50mg tablets",21181086,"472","<=10"
"Bictegravir 50mg / Emtricitabine 200mg / Tenofovir alafenamide 25mg tablets",40700990,"416","<=10"
"Bimatoprost",21235023,"<=10","1051"
"Bimatoprost + Timolol",21179138,"<=10","<=10"
"Bimatoprost 100micrograms/ml eye drops",21235691,"573","<=10"
"Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops",21217766,"280","1189"
"Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free",21272708,"42","<=10"
"Bimatoprost 300micrograms/ml eye drops",21274111,"128","<=10"
"Bimatoprost 300micrograms/ml eye drops 0.4ml unit dose preservative free",21198342,"80","<=10"
"Bimatoprost 300micrograms/ml eye drops preservative free",40700978,"<=10","<=10"
"Biotene Oralbalance dry mouth saliva replacement gel",21378873,"392","<=10"
"BioXtra Dry Mouth oral gel",21429749,"<=10","<=10"
"Bisacodyl",21216409,"<=10","2722"
"Bisacodyl",21252977,"<=10","183"
"Bisacodyl 10mg suppositories",21255699,"74","<=10"
"Bisacodyl 5mg gastro-resistant tablets",21236976,"1469","<=10"
"Bisacodyl 5mg suppositories",40700937,"396","<=10"
"Bismuth subnitrate and Iodoform paste",36815319,"54","<=10"
"Bismuth subsalicylate 262.5mg chewable tablets sugar free",21235739,"<=10","<=10"
"Bisoprolol",21216416,"<=10","74215"
"Bisoprolol 1.25mg tablets",21274363,"12907","<=10"
"Bisoprolol 10mg tablets",21293012,"863","<=10"
"Bisoprolol 2.5mg tablets",21199965,"18719","<=10"
"Bisoprolol 3.75mg tablets",21292956,"588","<=10"
"Bisoprolol 5mg tablets",21255729,"7055","<=10"
"Bisoprolol 7.5mg tablets",21237092,"504","<=10"
"Bleomycin",21197714,"<=10","20"
"Bleomycin 15,000unit powder for solution for injection vials",21311204,"135","<=10"
"Blinatumomab 38.5micrograms powder for solution for infusion vials",21235345,"582","<=10"
"Blink Intensive Tears 0.2% eye drops",21451471,"<=10","31"
"Blood group antibody D-containing product",4173265,"<=10","<=10"
"Bortezomib 3.5mg powder for solution for injection vials",21292431,"1328","<=10"
"Bosentan",21309490,"<=10","43"
"Bosentan 125mg tablets",21199491,"23","<=10"
"Bosentan 62.5mg tablets",21218192,"31","<=10"
"Botulinum A toxin",21179082,"<=10","<=10"
"Botulinum toxin type A",21290398,"<=10","26"
"Botulinum toxin type A 100unit powder for solution for injection vials",21273473,"158","<=10"
"Botulinum toxin type A 300unit powder for solution for injection vials",21254246,"<=10","<=10"
"Botulinum toxin type A 500unit powder for solution for injection vials",21255257,"<=10","<=10"
"Braltus 10microgram inhalation powder capsules with Zonda inhaler",40700776,"<=10","15"
"Brentuximab vedotin",21309733,"<=10","<=10"
"Brentuximab vedotin 50mg powder for solution for infusion vials",21198354,"112","<=10"
"Brimonidine",21197715,"<=10","1262"
"Brimonidine 0.2% eye drops",21311710,"823","<=10"
