"condition_concept_name","condition_concept_id","UCLH","UHB"
"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, home",42503637,"<=10","62"
"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, school, other institution and public administrative area",42503639,"<=10","<=10"
"Accidental poisoning by and exposure to nonopioid analgesics, antipyretics and antirheumatics, unspecified place",42503646,"<=10","26"
"Accidental poisoning by and exposure to organic solvent and halogenated hydrocarbons and their vapors, unspecified place",42503713,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances, home",42503737,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances, industrial and construction area",42503743,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances, other specified places",42503745,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances, residential institution",42503738,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances, school, other institution and public administrative area",42503739,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances, trade and service area",42503742,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified chemicals and noxious substances, unspecified place",42503746,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, home",42503682,"<=10","37"
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, residential institution",42503683,"<=10","<=10"
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, school, other institution and public administrative area",42503684,"<=10","16"
"Accidental poisoning by and exposure to other and unspecified drugs, medicaments and biological substances, unspecified place",42503691,"<=10","18"
"Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, home",42503671,"<=10","<=10"
"Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, school, other institution and public administrative area",42503673,"<=10","<=10"
"Accidental poisoning by and exposure to other drugs acting on the autonomic nervous system, unspecified place",42503680,"<=10","<=10"
"Accidental poisoning by and exposure to other gases and vapors, industrial and construction area",42503721,"<=10","<=10"
"Accidental poisoning by and exposure to pesticides, home",42503726,"<=10","<=10"
"Accidental poisoning from foodstuffs and poisonous plants",436015,"<=10","<=10"
"Accidental puncture and laceration during a procedure, not elsewhere classified",45565812,"242","246"
"Accidental scratch by another person",45566217,"<=10","<=10"
"Accidental twist by another person",45595282,"<=10","<=10"
"Accretion on teeth",440432,"<=10","<=10"
"Acculturation difficulty",45561641,"<=10","<=10"
"Acetabular labrum tear",4117399,"<=10","<=10"
"Acetaminophen overdose",4173525,"277","517"
"Acetonuria",45597201,"23","<=10"
"Achalasia of cardia",45581887,"193","46"
"Achalasia of esophagus",318186,"163","<=10"
"Achilles tendinitis",77963,"13","<=10"
"Achilles tendinitis",45596682,"<=10","<=10"
"Achillodynia",4230302,"<=10","<=10"
"Aching headache",4038025,"11","<=10"
"Aching leg syndrome",4173668,"<=10","<=10"
"Achondroplasia",45572992,"<=10","<=10"
"Acid chemical burn of cornea",40488335,"<=10","<=10"
"Acid reflux",44783954,"224","<=10"
"Acidemia",4323825,"<=10","<=10"
"Acidosis",435517,"<=10","<=10"
"Acidosis",45571697,"<=10","2432"
"Acne",141095,"270","<=10"
"Acne conglobata",4172185,"<=10","<=10"
"Acne keloid",45605991,"<=10","<=10"
"Acne vulgaris",45581958,"70","15"
"Acne, unspecified",45605990,"<=10","23"
"Acneiform eruption",4299558,"<=10","<=10"
"Acontractile detrusor",74082,"21","<=10"
"Acoustic neuritis in infectious and parasitic diseases classified elsewhere",45557529,"<=10","<=10"
"Acoustic neuroma",4131769,"146","<=10"
"Acoustic neuroma of left vestibular nerve",37209556,"<=10","<=10"
"Acquired abnormality of brachiocephalic vein",43020899,"<=10","<=10"
"Acquired absence of both lower limbs [any level, except toes alone]",45552139,"38","31"
"Acquired absence of both upper limbs [any level]",45552136,"<=10","<=10"
"Acquired absence of breast(s)",45585873,"<=10","728"
"Acquired absence of finger(s) [including thumb], unilateral",45537691,"32","65"
"Acquired absence of foot and ankle",45547368,"<=10","245"
"Acquired absence of genital organ(s)",45547374,"7708","1935"
"Acquired absence of hand and wrist",45609988,"<=10","<=10"
"Acquired absence of kidney",45547373,"<=10","544"
"Acquired absence of leg above knee",45537693,"<=10","155"
"Acquired absence of leg at or below knee",45556874,"<=10","163"
"Acquired absence of limb, unspecified",45585872,"<=10","<=10"
"Acquired absence of lung [part of]",45537696,"1047","432"
"Acquired absence of multiple teeth",4001491,"15","<=10"
"Acquired absence of other organs",45585875,"<=10","173"
"Acquired absence of other organs of urinary tract",45605171,"<=10","111"
"Acquired absence of other parts of digestive tract",45576211,"8394","3066"
"Acquired absence of part of head and neck",45600373,"615","282"
"Acquired absence of part of stomach",45547371,"<=10","117"
"Acquired absence of single tooth",4001672,"<=10","<=10"
"Acquired absence of upper and lower limbs [any level]",45600372,"<=10","<=10"
"Acquired absence of upper limb above wrist",45571401,"<=10","23"
"Acquired atrophy of ovary and fallopian tube",45558174,"<=10","<=10"
"Acquired bronchiectasis",4052549,"<=10","<=10"
"Acquired buried penis",4032586,"25","<=10"
"Acquired C1 esterase inhibitor deficiency",4086741,"<=10","<=10"
"Acquired cavus deformity of right foot",37108622,"<=10","<=10"
"Acquired cerebral ventriculomegaly",37310659,"<=10","<=10"
"Acquired clawhand, clubhand, clawfoot and clubfoot",45548350,"<=10","<=10"
"Acquired clawhand, clubhand, clawfoot and clubfoot, ankle and foot",42505995,"<=10","<=10"
"Acquired clubfoot",45572393,"<=10","<=10"
"Acquired coagulation factor deficiency",432863,"<=10","<=10"
"Acquired coagulation factor deficiency",45566707,"<=10","<=10"
"Acquired complete atrioventricular block",37116420,"<=10","<=10"
"Acquired defect of skull",37019068,"18","<=10"
"Acquired deformity of chest and rib",45567811,"<=10","<=10"
"Acquired deformity of elbow",4104536,"<=10","<=10"
"Acquired deformity of head",380818,"<=10","<=10"
"Acquired deformity of hip",76791,"190","<=10"
"Acquired deformity of lesser toe",45763715,"<=10","<=10"
"Acquired deformity of limb, unspecified",45591774,"<=10","<=10"
"Acquired deformity of limb, unspecified, ankle and foot",42617120,"<=10","<=10"
"Acquired deformity of limb, unspecified, forearm",42617116,"<=10","<=10"
"Acquired deformity of limb, unspecified, hand",42617117,"<=10","<=10"
"Acquired deformity of limb, unspecified, lower leg",42617119,"<=10","<=10"
"Acquired deformity of limb, unspecified, multiple sites",42617113,"<=10","<=10"
"Acquired deformity of limb, unspecified, shoulder region",42617114,"<=10","<=10"
"Acquired deformity of limb, unspecified, upper arm",42617115,"<=10","<=10"
"Acquired deformity of lower limb",4129390,"<=10","<=10"
"Acquired deformity of nose",261116,"26","<=10"
"Acquired deformity of scapula",4147659,"<=10","<=10"
"Acquired deformity of toe",79917,"<=10","<=10"
"Acquired deviated nasal septum",4254671,"<=10","<=10"
"Acquired digital fibrokeratoma",4004353,"<=10","<=10"
"Acquired dysphasia",46271403,"<=10","<=10"
"Acquired factor VIII deficiency disease",4031031,"<=10","<=10"
"Acquired fixed flexion deformity of wrist",4105112,"<=10","<=10"
"Acquired generalized lipodystrophy",4336665,"<=10","<=10"
"Acquired genu valgum",80504,"<=10","<=10"
"Acquired haemolytic anaemia, unspecified",45552358,"<=10","<=10"
"Acquired hallux rigidus",79916,"19","<=10"
"Acquired hallux varus",80819,"<=10","<=10"
"Acquired hemolytic anemia",440979,"17","<=10"
"Acquired hypothyroidism",138384,"31","<=10"
"Acquired keratosis [keratoderma] palmaris et plantaris",45591648,"<=10","<=10"
"Acquired keratosis follicularis",45567349,"<=10","<=10"
"Acquired kyphosis",80512,"<=10","<=10"
"Acquired megacolon",198465,"<=10","<=10"
"Acquired nasal septal defect",4177054,"<=10","<=10"
"Acquired obstruction of urinary tract",45769789,"<=10","<=10"
"Acquired obstructive hydrocephalus",4220220,"<=10","<=10"
"Acquired pancytopenia",4239484,"<=10","<=10"
"Acquired pes planus",40400344,"<=10","<=10"
"Acquired phimosis",4141635,"16","38"
"Acquired plantar keratoderma",4290829,"<=10","<=10"
"Acquired platelet function disorder",4028066,"<=10","<=10"
"Acquired polycystic kidney disease",4323988,"<=10","<=10"
"Acquired pure red cell aplasia, unspecified",45537920,"<=10","<=10"
"Acquired pyloric stricture",4057520,"<=10","<=10"
"Acquired renal cystic disease",194686,"<=10","<=10"
"Acquired scoliosis",4006163,"<=10","<=10"
"Acquired sensorineural hearing loss",43531411,"<=10","<=10"
"Acquired short Achilles tendon",4174385,"<=10","<=10"
"Acquired short bowel syndrome",40437458,"11","<=10"
"Acquired spondylolisthesis",316211,"<=10","<=10"
"Acquired spondylolysis of lumbar spine",37207413,"<=10","<=10"
"Acquired stenosis of external ear canal",45605732,"<=10","<=10"
"Acquired stenosis of external ear canal secondary to surgery",372326,"<=10","<=10"
"Acquired stricture of ureter",4141634,"375","<=10"
"Acquired thrombotic thrombocytopenic purpura",4204900,"<=10","<=10"
"Acquired tracheal stenosis",4121451,"<=10","<=10"
